day,price,predicted_price,action,holding,steps_holding,portfolio_value,capital
213,48936.61328125,47919.9140625,BUY,True,0,13715.332890474328,13715.332890474328
214,48628.51171875,47994.46484375,SELL,False,0,13628.982094813897,13628.982094813897
215,50784.5390625,48197.04296875,BUY,True,0,13628.982094813897,13628.982094813897
216,50822.1953125,48638.46875,SELL,False,0,13639.087854686528,13639.087854686528
217,50429.859375,49209.31640625,BUY,True,0,13639.087854686526,13639.087854686528
218,50809.515625,49791.0703125,SELL,False,0,13741.76838983983,13741.76838983983
219,50640.41796875,50366.2734375,BUY,True,0,13741.76838983983,13741.76838983983
220,47588.85546875,50877.8359375,SELL,False,0,12913.69731965242,12913.69731965242
221,46444.7109375,51054.91015625,BUY,True,0,12913.69731965242,12913.69731965242
222,47178.125,50901.29296875,SELL,False,0,13117.619079997678,13117.619079997678
223,46306.4453125,50599.05859375,BUY,True,0,13117.61907999768,13117.619079997678
224,47686.8125,50148.76171875,HOLD,True,1,13508.647387913701,13117.619079997678
225,47345.21875,49748.49609375,SELL,False,0,13411.881232309044,13411.881232309044
226,46458.1171875,49383.99609375,BUY,True,0,13411.881232309044,13411.881232309044
227,45897.57421875,48999.484375,SELL,False,0,13250.05944146592,13250.05944146592
228,43569.00390625,48586.09375,BUY,True,0,13250.05944146592,13250.05944146592
229,43160.9296875,47995.51953125,SELL,False,0,13125.957277767118,13125.957277767118
230,41557.90234375,47300.7890625,BUY,True,0,13125.957277767118,13125.957277767118
231,41733.94140625,46475.6171875,SELL,False,0,13181.558765890368,13181.558765890368
232,41911.6015625,45645.921875,BUY,True,0,13181.558765890368,13181.558765890368
233,41821.26171875,44881.37890625,SELL,False,0,13153.146108895713,13153.146108895713
234,42735.85546875,44212.5625,BUY,True,0,13153.146108895713,13153.146108895713
235,43949.1015625,43730.45703125,HOLD,True,1,13526.556280801826,13153.146108895713
236,42591.5703125,43504.859375,SELL,False,0,13108.738345890037,13108.738345890037
237,43099.69921875,43365.55859375,BUY,True,0,13108.738345890037,13108.738345890037
238,43177.3984375,43335.71484375,SELL,False,0,13132.370499866433,13132.370499866433
239,43113.87890625,43392.07421875,BUY,True,0,13132.370499866433,13132.370499866433
240,42250.55078125,43515.26953125,SELL,False,0,12869.403096142258,12869.403096142258
241,42375.6328125,43592.5390625,BUY,True,0,12869.40309614226,12869.403096142258
242,41744.328125,43644.875,SELL,False,0,12677.677003558101,12677.677003558101
243,40680.41796875,43626.5859375,BUY,True,0,12677.677003558103,12677.677003558101
244,36457.31640625,43477.6015625,SELL,False,0,11361.58635759364,11361.58635759364
245,35030.25,42912.1171875,BUY,True,0,11361.58635759364,11361.58635759364
246,36276.8046875,41999.1953125,HOLD,True,1,11765.889459384076,11361.58635759364
247,36654.328125,41049.328125,SELL,False,0,11888.334064751489,11888.334064751489
248,36954.00390625,40171.0546875,BUY,True,0,11888.334064751489,11888.334064751489
249,36852.12109375,39422.78515625,SELL,False,0,11855.557727076979,11855.557727076979
250,37138.234375,38811.66015625,BUY,True,0,11855.557727076979,11855.557727076979
251,37784.33203125,38361.59765625,SELL,False,0,12061.810075631203,12061.810075631203
252,38138.1796875,38103.83203125,BUY,True,0,12061.810075631201,12061.810075631203
253,37917.6015625,38022.83984375,SELL,False,0,11992.048711234966,11992.048711234966
254,38483.125,38051.29296875,BUY,True,0,11992.048711234966,11992.048711234966
255,38743.2734375,38208.765625,SELL,False,0,12073.11574346407,12073.11574346407
256,36952.984375,38469.07421875,BUY,True,0,12073.11574346407,12073.11574346407
257,37154.6015625,38626.77734375,SELL,False,0,12138.987219928797,12138.987219928797
258,41500.875,38720.69921875,BUY,True,0,12138.987219928797,12138.987219928797
259,41441.1640625,39114.70703125,SELL,False,0,12121.521797640653,12121.521797640653
260,42412.43359375,39676.86328125,BUY,True,0,12121.521797640653,12121.521797640653
261,43840.28515625,40388.328125,HOLD,True,1,12529.603399475203,12121.521797640653
262,44118.4453125,41261.01171875,SELL,False,0,12609.101888751149,12609.101888751149
263,44338.796875,42197.0625,BUY,True,0,12609.101888751149,12609.101888751149
264,43565.11328125,43120.4453125,SELL,False,0,12389.08114053934,12389.08114053934
265,42407.9375,43899.515625,BUY,True,0,12389.08114053934,12389.08114053934
266,42244.46875,44425.5078125,SELL,False,0,12341.325278616261,12341.325278616261
267,42197.515625,44725.98046875,BUY,True,0,12341.325278616263,12341.325278616261
268,42586.91796875,44846.33984375,SELL,False,0,12455.21210150844,12455.21210150844
269,44575.203125,44866.6953125,BUY,True,0,12455.21210150844,12455.21210150844
270,43961.859375,44978.45703125,SELL,False,0,12283.831469187775,12283.831469187775
271,40538.01171875,45090.7265625,BUY,True,0,12283.831469187775,12283.831469187775
272,40030.9765625,44914.5546875,SELL,False,0,12130.189636639596,12130.189636639596
273,40122.15625,44517.0546875,BUY,True,0,12130.189636639596,12130.189636639596
274,38431.37890625,44008.03515625,SELL,False,0,11619.014472343155,11619.014472343155
275,37075.28125,43325.80078125,BUY,True,0,11619.014472343155,11619.014472343155
276,38286.02734375,42470.99609375,HOLD,True,1,11998.449932070496,11619.014472343155
277,37296.5703125,41664.6875,SELL,False,0,11688.36420437678,11688.36420437678
278,38332.609375,40873.234375,BUY,True,0,11688.36420437678,11688.36420437678
279,39214.21875,40249.921875,SELL,False,0,11957.184188954023,11957.184188954023
280,39105.1484375,39843.24609375,BUY,True,0,11957.184188954023,11957.184188954023
281,37709.78515625,39601.3515625,SELL,False,0,11530.52385313978,11530.52385313978
282,43193.234375,39383.0078125,BUY,True,0,11530.523853139779,11530.52385313978
283,44354.63671875,39638.60546875,SELL,False,0,11840.562627069912,11840.562627069912
284,43924.1171875,40295.36328125,BUY,True,0,11840.562627069912,11840.562627069912
285,42451.7890625,41134.0234375,SELL,False,0,11443.66920068091,11443.66920068091
286,39137.60546875,41911.69140625,BUY,True,0,11443.66920068091,11443.66920068091
287,39400.5859375,42319.49609375,SELL,False,0,11520.563570036693,11520.563570036693
288,38419.984375,42469.0,BUY,True,0,11520.563570036693,11520.563570036693
289,38062.0390625,42354.3359375,SELL,False,0,11413.230581896902,11413.230581896902
290,38737.26953125,42043.33984375,BUY,True,0,11413.230581896902,11413.230581896902
291,41982.92578125,41679.9453125,HOLD,True,1,12369.504052357726,11413.230581896902
292,39437.4609375,41571.69921875,SELL,False,0,11619.529220590242,11619.529220590242
293,38794.97265625,41437.41796875,BUY,True,0,11619.529220590244,11619.529220590242
294,38904.01171875,41244.8671875,SELL,False,0,11652.187642188599,11652.187642188599
295,37849.6640625,41036.56640625,BUY,True,0,11652.187642188599,11652.187642188599
296,39666.75390625,40748.58203125,HOLD,True,1,12211.586842855948,11652.187642188599
297,39338.78515625,40575.9453125,SELL,False,0,12110.620202585016,12110.620202585016
298,41143.9296875,40467.53515625,BUY,True,0,12110.620202585016,12110.620202585016
